Date and Time,Description,Reference No.,Debit,Credit,Balance
11/2/2025 12:49,Payment to LSHOP,385585275,497.02,,799.88
11/3/2025 15:22,"Received GCash from BDO Unibank, Inc. with account ending in 4748",3.0343E+12,,20000,20799.88
11/3/2025 15:24,Payment to Bancnet P2M Send,389507534,18763.8,,2036.08
11/3/2025 19:49,"Payment to Apple services, Merchant Transaction Number: MN40X83NGJa0",390121539,599,,1437.08
11/5/2025 18:54,Payment to Lapakgaming PH,895920488,214.28,,1222.8
11/7/2025 16:57,Payment to MLBB,4220364,532,,690.8
11/10/2025 16:30,Payment to COGNOSPHERE PTE. LTD,313776366,49,,641.8
11/11/2025 13:58,"Received GCash from BDO Unibank, Inc. with account ending in 4748",3.03456E+12,,1500,2141.8
11/11/2025 14:00,Payment to SHOPEE,717713861,1521,,620.8
11/13/2025 16:02,Buy Load Transaction for My_Number,324057148,61,,559.8
11/13/2025 16:28,"Received GCash from BDO Unibank, Inc. with account ending in 4748",3.03463E+12,,4000,4559.8
11/13/2025 16:29,Transfer from My_Number to Others_Number,3.03463E+12,3500,,1059.8
11/16/2025 15:47,"Payment to SPOTIFY AB, Merchant Transaction Number: P3C746AD2F",334930849,85,,974.8
11/17/2025 14:30,Payment to Honkai Impact 3,239549719,830,,144.8
11/21/2025 11:54,"Received GCash from BDO Unibank, Inc. with account ending in 4748",3.03494E+12,,600,744.8
11/21/2025 11:55,Payment to Honkai Impact 3,957295947,280,,464.8
11/28/2025 9:20,"Payment to Apple services, Merchant Transaction Number: MN40Y41517a0",377776663,55,,409.8
12/3/2025 9:43,"Received GCash from BDO Unibank, Inc. with account ending in 4748",3.03537E+12,,2000,2409.8
12/4/2025 16:03,"Payment to Apple services, Merchant Transaction Number: MN40YB0YD5a0",399195532,599,,1810.8
12/4/2025 16:07,"Payment to Apple services, Merchant Transaction Number: MN40YB1192a0",399478642,599,,1211.8
12/6/2025 14:19,Payment to Genshin Impact,805999771,280,,931.8
12/8/2025 16:19,Payment to Xsolla,314845369,269,,662.8
12/11/2025 6:06,Payment to Smart GigaLife,929596589,249,,413.8
12/16/2025 3:47,"Payment to SPOTIFY AB, Merchant Transaction Number: P3D7866648",345472740,85,,328.8
12/20/2025 12:01,Buy Load Transaction for Others_Number,358964080,60,,268.8
12/20/2025 12:02,Buy Load Transaction for My_Number,358959353,61,,207.8
12/20/2025 12:04,Buy Load Transaction for Others_Number,359012335,61,,146.8
12/20/2025 20:48,Buy Load Transaction for Others_Number,359858177,51,,95.8
12/22/2025 9:46,"Received GCash from BDO Unibank, Inc. with account ending in 4748",3.03606E+12,,2000,2095.8
12/22/2025 9:47,Transfer from My_Number to Others_Number,3.03606E+12,1640,,455.8
12/23/2025 11:16,Buy Load Transaction for Others_Number,372323693,51,,404.8
12/24/2025 15:18,"Received GCash from BDO Unibank, Inc. with account ending in 4748",3.03612E+12,,2500,2904.8
12/24/2025 15:18,"Payment to Foodpanda, Merchant Transaction Number: c2l6-2552-f9k0",377356306,2099,,805.8
12/24/2025 20:43,Buy Load Transaction for My_Number,378655760,52,,753.8
12/26/2025 10:07,"Payment to TikTok Shop Seller, Merchant Transaction Number: AgYAAtwXmDJpDEO5hf2NG9PvaupwK",384350327,349.02,,404.78
12/26/2025 12:10,Buy Load Transaction for Others_Number,384939813,51,,353.78
12/27/2025 16:43,"Received GCash from BDO Unibank, Inc. with account ending in 4748",3.03622E+12,,800,1153.78
12/27/2025 16:53,Transfer from My_Number to Others_Number,3.03622E+12,500,,653.78
12/28/2025 14:26,Buy Load Transaction for Others_Number,393426520,51,,602.78
12/28/2025 15:10,"Received GCash from BDO Unibank, Inc. with account ending in 4748",3.03625E+12,,1500,2102.78
12/28/2025 15:11,Transfer from My_Number to Others_Number,3.03625E+12,1463,,639.78
12/29/2025 10:53,Transfer from Others_Number to My_Number,3.03627E+12,,1640,2279.78
12/29/2025 11:18,"Payment to Apple services, Merchant Transaction Number: MN40Z4XHHQa0",396388078,999,,1280.78
12/29/2025 16:18,Buy Load Transaction for My_Number,397605675,57,,1223.78
12/30/2025 11:41,"Payment to Apple services, Merchant Transaction Number: MN40Z5FX02a0",300414810,299,,924.78
12/30/2025 14:42,Buy Load Transaction for Others_Number,301270814,32,,892.78
12/31/2025 7:25,"Payment to Apple services, Merchant Transaction Number: MN40Z67DNMa0",303703793,299,,593.78
12/31/2025 9:39,Buy Load Transaction for My_Number,304270716,188,,405.78
12/31/2025 17:29,Buy Load Transaction for Others_Number,305749394,101,,304.78
